Equipo,Peso,Tipo_Equipo,Fecha,Resultado_1X2,avg_Goles_esperados_(xG)_total,avg_Posesión_total,avg_Remates_a_puerta_total,avg_Córneres_total,avg_Tarjetas_amarillas_total,avg_Faltas_total,avg_Paradas_total,avg_Pases_Pct_total,avg_Pases_Exitosos_total,avg_Goles_total,avg_Ptos_total,avg_xGA_total,avg_xG_Share_total,avg_Remates_Puerta_Share_total,avg_Corneres_Share_total,avg_Paradas_Share_total,avg_Pases_Exitosos_Share_total,avg_Goles_Share_total,avg_Puntos_Share_total,avg_Valor_Mercado_Millones_Eur_Share_total,avg_Puntos_total,avg_Goles_esperados_(xG)_3,avg_Posesión_3,avg_Remates_a_puerta_3,avg_Córneres_3,avg_Tarjetas_amarillas_3,avg_Faltas_3,avg_Paradas_3,avg_Pases_Pct_3,avg_Pases_Exitosos_3,avg_Goles_3,avg_Ptos_3,avg_xGA_3,avg_xG_Share_3,avg_Remates_Puerta_Share_3,avg_Corneres_Share_3,avg_Paradas_Share_3,avg_Pases_Exitosos_Share_3,avg_Goles_Share_3,avg_Puntos_Share_3,avg_Valor_Mercado_Millones_Eur_Share_3,avg_Puntos_3,avg_Goles_esperados_(xG)_5,avg_Posesión_5,avg_Remates_a_puerta_5,avg_Córneres_5,avg_Tarjetas_amarillas_5,avg_Faltas_5,avg_Paradas_5,avg_Pases_Pct_5,avg_Pases_Exitosos_5,avg_Goles_5,avg_Ptos_5,avg_xGA_5,avg_xG_Share_5,avg_Remates_Puerta_Share_5,avg_Corneres_Share_5,avg_Paradas_Share_5,avg_Pases_Exitosos_Share_5,avg_Goles_Share_5,avg_Puntos_Share_5,avg_Valor_Mercado_Millones_Eur_Share_5,avg_Puntos_5,clean_sheet_rate_5,forma_vs_historia,Puntos,Valor_Mercado_Millones_Eur
Sudáfrica,0.6,Visitante,2026-06-11,2,1.626206896551724,0.5986206896551723,4.793103448275862,5.103448275862069,1.8413793103448275,11.63103448275862,1.4655172413793103,0.856896551724138,435.45862068965516,1.5517241379310345,1.8275862068965518,0.717896551724138,0.6511104863700778,0.6821739563118874,0.667594665870528,0.3404898741105638,0.6237341705225345,0.6275862068965516,0.5348594331486,0.6727762693451997,1404.493448275862,1.4533333333333338,0.68,4.333333333333333,4.0,1.3333333333333333,10.333333333333334,1.0,0.89,498.6666666666667,0.6666666666666666,0.6666666666666666,0.43,0.7027706552706553,0.6666666666666666,0.7301587301587302,0.2888888888888889,0.7092079325073165,0.4444444444444445,0.5086361766223854,0.6968329608231771,1431.75,1.59,0.6719999999999999,5.2,4.2,2.0,11.2,1.4,0.8719999999999999,468.4,1.2,1.0,0.786,0.6508363533190991,0.65,0.6714285714285715,0.30333333333333334,0.7069604510990299,0.4533333333333333,0.5165858457661662,0.5772034019577944,1429.7419999999997,0.4,0.05166016890057745,1429.73,1.89
México,0.75,Local,2026-06-11,2,1.6457777777777778,0.5855555555555555,5.416666666666667,5.694444444444445,2.158333333333333,14.166666666666666,1.8888888888888888,0.8477777777777777,423.19444444444446,1.3055555555555556,2.0833333333333335,0.7344722222222222,0.6893280309427479,0.6737566219183866,0.6365451677951678,0.3172750474833808,0.6095147921865033,0.6879629629629629,0.5362934881443351,0.7022209223847029,1646.7727777777777,0.98,0.47000000000000003,4.0,4.0,1.3333333333333333,14.666666666666666,2.0,0.8466666666666667,392.6666666666667,1.0,1.6666666666666667,0.6366666666666666,0.6335663575775139,0.5535353535353535,0.45,0.4444444444444444,0.45936610630345703,0.6666666666666666,0.5116337012745595,0.290009604954134,1677.51,1.6800000000000002,0.502,5.0,4.8,2.0,12.6,2.4,0.85,399.0,1.6,2.2,0.69,0.6541573313643262,0.568018648018648,0.53,0.47111111111111115,0.4959921631202734,0.8,0.5294234392222714,0.4904754564336645,1676.806,0.4,-0.055761673365233966,1681.03,7.38
República Checa,1.0,Visitante,2026-06-12,2,1.645857142857143,0.5040476190476191,4.976190476190476,5.714285714285714,1.8904761904761906,13.404761904761905,2.2142857142857144,0.7880952380952382,355.8809523809524,1.5238095238095237,1.5238095238095237,1.088642857142857,0.5905123438917924,0.5756179997251426,0.6076608246251103,0.4143729286586429,0.5078174503226502,0.5547619047619048,0.5164990640733516,0.5679653837906992,1485.6966666666667,2.323333333333333,0.5133333333333333,5.666666666666667,8.333333333333334,0.6666666666666666,18.0,2.3333333333333335,0.7433333333333333,372.6666666666667,3.0,1.6666666666666667,0.8766666666666668,0.6692932390606808,0.6111111111111112,0.6531468531468532,0.4603174603174603,0.5159517227897455,0.6666666666666666,0.5436967936525552,0.6247599956858073,1486.2266666666667,1.8539999999999999,0.518,4.0,7.4,0.6,16.8,2.0,0.756,360.8,2.0,1.2,0.8160000000000001,0.6337036030108767,0.5166666666666666,0.6577972027972028,0.5761904761904761,0.5187481866305454,0.5666666666666667,0.5352039491345628,0.6343078373511292,1491.852,0.2,0.07878089516888842,1501.38,7.24
Corea del Sur,0.7,Local,2026-06-12,2,1.8708536585365854,0.6673170731707317,5.780487804878049,7.463414634146342,1.2804878048780488,11.512195121951219,1.4146341463414633,0.815,516.729268292683,1.951219512195122,1.975609756097561,0.7246585365853659,0.7305220496019657,0.7175588639003273,0.7181171251831223,0.26525710062295427,0.675396232457003,0.6695121951219511,0.5395220675301453,0.8075463044719755,1536.6307317073172,1.4566666666666668,0.5666666666666667,4.0,9.0,1.0,9.666666666666666,1.3333333333333333,0.86,466.6666666666667,1.3333333333333333,1.0,1.3133333333333332,0.5939526987472193,0.6222222222222222,0.6861111111111112,0.2222222222222222,0.5629477460934905,0.3333333333333333,0.5335447755950936,0.5130360252872118,1591.2766666666666,1.642,0.642,4.4,9.4,1.4,10.6,1.6,0.8640000000000001,509.2,1.4,1.4,0.9,0.7051918252968526,0.6288888888888888,0.7473310023310022,0.29047619047619044,0.6602482133144679,0.5,0.5326080285509353,0.6559049532347948,1586.842,0.8,-0.1365693508547463,1588.66,5.35
Canadá,0.75,Local,2026-06-12,2,1.5055142857142858,0.5131428571428571,4.371428571428571,6.0,2.0342857142857143,14.54,2.4,0.8079428571428571,337.4742857142857,1.4857142857142858,1.6857142857142857,0.9811714285714286,0.5994068700437499,0.5643054564483135,0.5889017285235773,0.43487528344671206,0.5200014925523371,0.6047619047619048,0.5023893792121125,0.6921027821336625,1454.6882857142857,1.4433333333333334,0.5733333333333334,6.0,9.666666666666666,2.0,14.0,1.6666666666666667,0.8166666666666665,362.0,1.0,1.6666666666666667,0.37333333333333335,0.8027042982179404,0.6916666666666665,0.8315904139433551,0.24206349206349206,0.5894946447574024,0.6666666666666666,0.5353226036274309,0.790118220879538,1559.15,1.56,0.588,4.8,10.0,2.0,12.6,1.4,0.8220000000000001,344.2,1.2,1.8,0.44800000000000006,0.7785425911894219,0.695,0.8220311714429362,0.2785714285714286,0.6035627038753615,0.7,0.5415982171306594,0.8603217293299267,1548.122,0.6,0.2032974281741905,1556.48,7.64
Bosnia-Herzegovina,1.0,Visitante,2026-06-12,2,1.275952380952381,0.48738095238095236,4.166666666666667,4.809523809523809,2.395238095238095,13.047619047619047,1.8571428571428572,0.8064285714285714,361.7142857142857,1.1904761904761905,1.1666666666666667,1.2666190476190475,0.4974027773763843,0.5240536249464821,0.5370720549291977,0.4456400742115028,0.49594207971880266,0.4631519274376417,0.49814970414381754,0.585286038201839,1372.7780952380951,1.515666666666667,0.5633333333333334,6.666666666666667,5.0,2.3333333333333335,16.333333333333332,1.6666666666666667,0.84,517.3333333333334,0.6666666666666666,1.0,1.0006666666666668,0.5991562615765976,0.6924603174603176,0.5436507936507936,0.27777777777777773,0.5800656016146158,0.5,0.4727155079351147,0.5162789473167505,1370.1933333333334,1.4294,0.516,5.0,4.2,2.8,14.6,1.8,0.8119999999999999,432.2,1.2,1.4,1.1403999999999999,0.5489053615369851,0.5797619047619047,0.5528571428571428,0.5,0.5230678627106531,0.55,0.4703232942416918,0.5252849646715907,1358.6599999999999,0.0,0.10175348420021335,1385.84,5.63
Paraguay,0.95,Visitante,2026-06-13,2,0.8812916666666667,0.41875,3.1666666666666665,3.9583333333333335,2.6083333333333334,14.416666666666666,2.525,0.6725,227.25,0.625,0.9583333333333334,1.3776666666666666,0.4271125900019559,0.4295276482776483,0.4626734240704829,0.5027541902541902,0.3970802440946191,0.37986111111111115,0.4809006990972023,0.42570842013525584,1467.41375,0.7940000000000002,0.4333333333333334,5.0,4.333333333333333,2.3333333333333335,11.333333333333334,2.1999999999999997,0.8099999999999999,321.3333333333333,1.0,2.0,1.0686666666666664,0.4178925653169904,0.587121212121212,0.5405982905982906,0.3867521367521367,0.4025432195896543,0.7777777777777777,0.48889752682491866,0.475523917445207,1496.5633333333335,0.6464,0.39,3.8,4.4,2.2,13.0,2.12,0.744,253.2,0.6,1.4,1.1292,0.41374494357890895,0.5422727272727272,0.5386446886446887,0.432051282051282,0.34627397784950453,0.5666666666666667,0.4813631029650569,0.37255622490167123,1490.462,0.2,-0.009220024684965467,1503.5,5.91
Suiza,1.0,Visitante,2026-06-13,2,1.523808510638298,0.5659574468085107,4.574468085106383,5.51063829787234,1.9212765957446807,11.340425531914894,2.3191489361702127,0.8634042553191489,480.29787234042556,1.6808510638297873,1.6170212765957446,1.067872340425532,0.5909762007859103,0.5878181511160234,0.5723626989460926,0.44927389395474504,0.5973772881554331,0.583080040526849,0.5267163642530774,0.5966615195881586,1632.8321276595746,0.7500000000000003,0.5166666666666667,2.3333333333333335,1.0,0.9333333333333332,7.666666666666667,3.0,0.86,450.6666666666667,1.3333333333333333,0.6666666666666666,1.2466666666666668,0.46016432385311107,0.3928571428571428,0.19444444444444445,0.7000000000000001,0.518678530095955,0.4761904761904762,0.5227589201667822,0.4404044070101574,1654.2333333333336,0.9179999999999999,0.558,3.4,2.2,0.76,8.2,2.4,0.876,480.4,1.6,1.2,0.96,0.542167694703001,0.5757142857142857,0.34523809523809523,0.55,0.5676346670061299,0.5457142857142857,0.5245747929372329,0.5064526895584088,1652.864,0.2,-0.13081187693279922,1649.4,12.79
Catar,0.7,Local,2026-06-13,2,1.5467741935483872,0.5641935483870967,4.612903225806452,4.935483870967742,1.9451612903225806,11.03225806451613,2.3548387096774195,0.7616129032258064,357.0,1.7419354838709677,1.8709677419354838,0.9979677419354839,0.5758394572033083,0.5351746977458552,0.5433750836976644,0.5214797747055813,0.571259246537816,0.5818996415770609,0.5268219909229697,0.5390388626084603,1448.6764516129033,0.7533333333333334,0.5299999999999999,2.0,3.0,2.1,10.666666666666666,2.0,0.8333333333333334,365.6666666666667,0.6666666666666666,1.3333333333333333,0.9866666666666667,0.4791471537896983,0.44841269841269843,0.44920634920634933,0.5833333333333334,0.5285637182432906,0.38888888888888884,0.5134063515487598,0.4105609437374624,1454.0866666666668,0.6140000000000001,0.4999999999999999,1.8,2.6,2.66,11.8,2.8,0.8400000000000001,363.6,0.6,1.4,1.1059999999999999,0.44086314161090207,0.36904761904761907,0.3980952380952381,0.67,0.4986619434441784,0.4333333333333333,0.5028758374270887,0.36104844788485035,1455.084,0.4,-0.09669230341361001,1454.96,0.766
EE. UU.,0.75,Local,2026-06-13,2,1.4414848484848486,0.5590909090909091,4.606060606060606,4.848484848484849,1.5787878787878789,12.303030303030303,2.3636363636363638,0.8345454545454545,395.1515151515151,1.4545454545454546,1.5757575757575757,0.8900606060606061,0.6120129685559205,0.5650415637046654,0.5783667510940238,0.4624874283965193,0.5735541090518249,0.5556277056277056,0.5262925361665924,0.7957377562452517,1624.5015151515152,0.8833333333333334,0.43,3.6666666666666665,2.6666666666666665,1.3333333333333333,11.666666666666666,4.666666666666667,0.8266666666666667,332.0,1.0,0.0,1.4433333333333334,0.39383647632424834,0.327020202020202,0.2333333333333333,0.625,0.4235144960775095,0.20634920634920637,0.4939089720071174,0.45270684254038457,1670.8566666666666,1.266,0.484,4.4,3.8,1.8,12.8,3.8,0.8320000000000001,344.8,1.4,0.8,1.408,0.46659968467240837,0.42716450216450214,0.35363636363636364,0.5305555555555556,0.48386575249547237,0.3571428571428571,0.5183198985835649,0.6505934521811904,1662.038,0.0,-0.21817649223167213,1673.13,14.83
